両刃のこぎり,#,木材を直線状に切断するときに使う用具を何といいますか。
横引き用の刃,#,両刃のこぎりを使って、木材の繊維に対して直角や斜め方向に切断する時に使う刃を何といいますか。
縦引き用の刃,#,繊維に沿って切断するときに使う刃を何といいますか。
小,#,柔らかい板材や薄い板材を切断するとき、のこぎりを引く角度は大と小のどちらですか。
厚い板材,#,のこぎりの引き込み角度30度から40度ぐらいにするとよいのは、どのような厚さの板材を切断する場合ですか。
あさり,#,のこぎりの刃の先は大きな引き溝を作って、動きが軽くなるように刃の先が左右に振り分けられている構造になっています。この構造を何と言いますか。
もと,#,切り始める時、当て木や指の関節を当てて、木材をしっかり固定し、のこ身のどこの部分を使って切り込みを作りますか。
一直線,#,のこぎりを引く時、のこ身がどのように見える位置に立つと良いですか。
引くとき,#,木材を切断するのはのこぎりを引くときですか、押すときですか。
硬い板材,#,軟らかい板材と硬い板材では切断する時の引き込みの角度は、どちらが大きくなりますか。
水平近くにする,#,切り終わりは木材の端が欠けるのを防ぐために、引く角度をどのようにすればよいですか。
糸のこ,#,板材を曲線状に切断する場合や切り抜きに使う工具にはどのようなものがありますか。
