板目板,mokuzai01.jpg,#,,,
まさ目板,mokuzai02.jpg,#,,,
木表(きおもて),mokuzai03.jpg,#,,,
木裏(きうら),mokuzai04.jpg,#,,,
糸のこ盤,itonokoban.jpg,#,,,
クランプ,kranp.jpg,#,,,
ノギス,nogisu.jpg,#,,,
パイプベンダー,pipbenda.jpg,#,,,
(ポケット)ベンダー,poketbenda.jpg,#,,,
金切り,kanakiribasami.jpg,#,,,
(卓上)ボール盤,bouruban01.jpg,#,,,
送りハンドル,bouruban02.jpg,#,,,
,nokogiri05.jpg,#,,,
,,#,,,
タップ,tapp.jpg,#,,,
タップ回し,tappumawasi.jpg,#,,,
,,#,,,
,,#,,,
ト音記号,toonn.jpg,#,,,
,,#,,,
,,#,,,
,,#,,,
裁ち(ばさみ),hasami01.jpg,#,,,
ピンキング(ばさみ),hasami02.jpg,#,,,
リッパー,rippa.jpg,#,,,
ルレット,ruretto.jpg,#,,,
指ぬき,yubinuki.jpg,#,,,
まち針,machibari.jpg,#,,,
天びん,misin01.jpg,#,,,
はずみ車,misin02.jpg,#,,,
おさえ,misin03.jpg,#,,,
返し(縫い),kaesinui.jpg,#,,,
三つ折り(縫い),mituorinui.jpg,#,,,
割り(縫い),warinui.jpg,#,,,
,,#,,,
,,#,,,
,,#,,,
展性(てんせい),tennsei.jpg,#,,,7
延性(えんせい),ennsei.jpg,#,,,8
弾性(だんせい),dansei.jpg,#,,,9
塑性(そせい),sosei.jpg,#,,,10
加工硬化,kakoukouka.jpg,#,,,11
,,#,,,12
,,#,,,13
,,#,,,14
直進法,tyokusinhou.jpg,#,,,15
斜進法,syasinnhou.jpg,#,,,16
,,#,,,17
,,#,,,18
,,#,,,19
まさ目,masameita.jpg,#,,,20
板目,itameita.jpg,#,,,21
A,itawarekata.jpg,#,,,22
合板(べニア),goubann.jpg,#,,,23
集成材,syuuseizai.jpg,#,,,24
パーティクルボード,patyikurubodo.jpg,#,,,25
,,,,,26
,,,,,27
エ(両端→中),nejitomerujun.jpg,#,,,28
長手,nagate.jpg,#,,,29
妻手,tumate.jpg,#,,,30
,,#,,,
,,#,,,
,,#,,,
キャビネット図,kyabinettozu01.jpg,#,,,
等角図,toukakuzu01.jpg,#,,,
,,#,,,
,,#,,,
,,#,,,
弓のこ,yuminoko.jpg,#,,,7
センタポンチ,sentaponti.jpg,#,,,8
ハンマー,hanma.jpg,#,,,9
けがき針,kegakibari.jpg,#,,,10
,,#,,,
,,#,,,
AED,aed.jpg,#,,,e
気道確保,kidoukakuho.jpg,#,,,e
人工呼吸,jinnkoukokyuu.jpg,#,,,e
胸骨圧迫,kyoukotuappaku.jpg,#,,,e
包帯法,houtaiappaku.jpg,#,,,e
,,#,,,
,,#,,,
自然,sizenkannki.jpg,#,,,
人工,jinnkoukannki.jpg,#,,,
,,#,,,
,,#,,,
主流煙(しゅりゅうえん),syuryuuen.jpg,#,,,
副流煙(ふくりゅうえん),fukuryuuen.jpg,#,,,
,,#,,,
,,#,,,
ながら運転,nagaraunnten.jpg,#,,,e
信号無視,singoumushi.jpg,#,,,e
並走,heisou.jpg,#,,,e
内輪差,nairinnsa.jpg,#,,,e
死角,shikaku.jpg,#,,,e
,,,,,
３R,3r.jpg,#,,,
５R,5r.jpg,#,,,
,,#,,,
,,#,,,
前頭葉(ぜんとうよう),zentouyou.jpg,#,,,e
頭頂葉(とうちょうよう),toutyouyou.jpg,#,,,e
後頭葉(こうとうよう),koutouyou.jpg,#,,,e
側頭葉(そくとうよう),sokutouyou.jpg,#,,,e
2357(抑制、思考、創造、意志),nounohataraki01.jpg,#,,,
6(感覚),nounohataraki02.jpg,#,,,
1(視覚),nounohataraki03.jpg,#,,,
4(記憶),nounohataraki04.jpg,#,,,
,,#,,,
電流ヒューズ,denryuuhyuzu.jpg,#,,,
温度ヒューズ,ondohyuzu.jpg,#,,,
コンセント,konsento.jpg,#,,,
電源プラグ,dengenpuragu.jpg,#,,,
モーター,mota.jpg,#,,,
電源,dengen.jpg,#,,,
電球,denkyuu.jpg,#,,,
導線の接続,dousennosetuzoku.jpg,#,,,
発光ダイオード,hakkoudaioudo.jpg,#,,,
ヒューズ,hyuzu.jpg,#,,,
コンデンサー,kondensa.jpg,#,,,
スイッチ,suicchi.jpg,#,,,
端子,tanshi.jpg,#,,,
抵抗器,teikouki.jpg,#,,,
,,#,,,
,,#,,,
平織,hiraori.jpg,#,,,
あや織,ayaori.jpg,#,,,
編み物(編物),amimono.jpg,#,,,
53(１→５→３→２↔４),matibarijunnban.jpg,#,,,
,,,,,
分岐処理,bunkisyorigata.jpg,#,,,
反復処理,hanpukusyorigata.jpg,#,,,
順次処理,zyunjisyorigata.jpg,#,,,
,,#,,,
,,#,,,
JASマーク,jasma-ku.jpg,#,,,
冷凍食品認定証,reitousyokuhinninteisyou.jpg,#,,,
特定保健用食品,tokuteihokenyousyokuhin.jpg,#,,,
,,#,,,
,,#,,,
海面いかだ,kaimennikada.jpg,#,,,
海面いけす,kaimennikesu.jpg,#,,,
陸上水槽,rikuzyousuisou.jpg,#,,,
,,#,,,
,,#,,,
露地(ろぢ),rojisaibai.jpg,#,,,
養液,youekisaibai.jpg,#,,,
施設,shisetusaibai.jpg,#,,,
容器,youkisaibai.jpg,#,,,
,,#,,,
,,#,,,
入力,nyuuryoku.jpg,#,,,
出力,syuturyoku.jpg,#,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
精のう,danseiki01.jpg,#,,,
尿道,danseiki02.jpg,#,,,
精巣,danseiki03.jpg,#,,,
陰茎(いんけい),danseiki04.jpg,#,,,
子宮,joseiki01.jpg,#,,,
卵管,joseiki02.jpg,#,,,
卵巣,joseiki03.jpg,#,,,
膣,joseiki04.jpg,#,,,
,,,,,
,,,,,
,,,,,
1,airon01.jpg,#,,,
2,airon02.jpg,#,,,
3,airon03.jpg,#,,,
4,airon04.jpg,#,,,
1,sentaku01.jpg,#,,,
2,sentaku02.jpg,#,,,
3,sentaku03.jpg,#,,,
,sentaku11.jpg,#,,,
,sentaku12.jpg,#,,,
1,sentakumono01.jpg,#,,,
2,sentakumono02.jpg,#,,,
3,sentakumono03.jpg,#,,,
1,hyouhakuzai01.jpg,#,,,
2,hyouhakuzai02.jpg,#,,,
,,,,,
,,,,,
襟(えり),eriw.jpg,#,,,
前身ごろ,maemigorow.jpg,#,,,
おくみ,okumiw.jpg,#,,,
そで,sodew.jpeg,#,,,
前身ごろ,maemigoroy.jpg,#,,,
そで,sodey.jpg,#,,,
うしろ身ごろ,usiromigoroy.jpg,#,,,
,,,,,
,,,,,
,noubunnpitukikann01.jpg,#,,,
,noubunnpitukikann02.jpg,#,,,
,,#,,,
,,#,,,
,,#,,,
リンパ,kikanhattatu01.jpg,#,,,
一般,kikanhattatu02.jpg,#,,,
神経,kikanhattatu03.jpg,#,,,
生殖,kikanhattatu04.jpg,#,,,
第１次発育急進,hatuiku01.jpg,#,,,
第２次発育急進,hatuiku02.jpg,#,,,
思春,hatuiku03.jpg,#,,,
