加工食品,#,食品の中でも保存性を高めたり、調理の手間を省いたりするために加工された食品を何と言いますか。
砂糖漬け,#,ジャムは、どのような加工がされた食品ですか。
重量の重いものから,#,加工食品の表示に義務付けられている原材料名は、どのような順番で表示しますか。
食物アレルギー,#,食品表示では、エビ、カニ、小麦、そば、卵、乳、落花生など、何の原因となる食品が表示されていますか。
食品添加物,#,加工食品において、品質の改良や保存性の向上、着色や調味などを目的として加えられるものを何と言いますか。
食品衛生法,#,食品添加物の使用できる種類や量は何によって決められていますか。
用途,#,食品添加物を表示する時、必要度の高いものは、物質名と合わせて何が表示されますか。
消費期限,#,加工食品などの表示で、衛生的で安全に食べられる期限を何といいますか。
賞味期限,#,比較的長く保存が可能で、おいしさの品質が保証される期限を何といいますか。
食品表示,#,販売されるすべての食品に義務付けられている表示を何といいますか。
JASマーク,#,日本農林規格を満たす食品につけられるマークは何ですか。
遺伝子組み換え食品,#,ある生物から特有の性質を持つ遺伝子を取り出して別の生物に組み込む技術を利用して作られた食品を何と言いますか。
特定保健用食品マーク,#,特定の保健効果が期待できる食品につけられるマークは何ですか。
